RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,Position
63,Anthony Davis,LAL,40,35.10,0.88,2.14,3.02,7.36, PF
64,Dwight Powell,DAL,82,21.90,-0.94,3.96,3.02,8.57, C
65,John Collins,ATL,54,30.80,-0.16,3.16,3.00,8.13, PF
66,CJ McCollum,NOP,62,34.60,2.04,0.95,2.99,10.89, SG
67,Zach LaVine,CHI,67,34.70,2.64,0.34,2.98,11.91, SG
68,Marcus Smart,BOS,71,32.30,-0.59,3.56,2.97,11.22, PG
69,Evan Fournier,NYK,80,29.50,-0.60,3.53,2.94,11.32, SG
70,Deandre Ayton,PHX,58,29.50,-1.26,4.19,2.94,8.17, C
71,Khris Middleton,MIL,66,32.40,2.35,0.55,2.90,11.26, SF
72,Ivica Zubac,LAC,76,24.40,-2.55,5.42,2.87,8.47, C
73,Dorian Finney-Smith,DAL,80,33.10,-1.43,4.26,2.83,12.75, PF
74,Nicolas Batum,LAC,59,24.80,-0.95,3.76,2.81,7.00, PF
75,Bojan Bogdanovic,UTA,69,30.90,0.81,1.90,2.71,10.10, SF
76,Tyrese Haliburton,IND,77,35.00,0.41,2.29,2.70,13.25, PG
77,Steven Adams,MEM,76,26.30,-1.78,4.43,2.65,9.54, C
78,Scottie Barnes,TOR,74,35.40,-2.13,4.75,2.62,12.02, SF
79,Mason Plumlee,CHA,73,24.60,-2.44,5.05,2.62,7.96, C
80,Klay Thompson,GSW,32,29.40,2.87,-0.29,2.58,4.06, SG
81,Russell Westbrook,LAL,78,34.30,-0.44,2.98,2.54,12.97, PG
82,Patrick Beverley,MIN,58,25.40,0.39,2.05,2.44,6.72, PG
83,Kyrie Irving,BKN,29,37.70,3.38,-1.04,2.35,4.63, PG
84,Bobby Portis,MIL,72,28.20,0.34,2.00,2.34,10.05, F
85,Mo Bamba,ORL,71,25.70,-1.72,4.03,2.31,8.04, C
86,Jrue Holiday,MIL,67,32.90,2.32,-0.10,2.22,11.08, PG
87,Jordan Poole,GSW,76,30.00,2.70,-0.54,2.16,10.82, SG
88,Brandon Ingram,NOP,55,34.00,1.47,0.68,2.15,8.37, SF
89,Devonte' Graham,NOP,76,28.40,0.26,1.89,2.15,9.81, PG
90,Lauri Markkanen,CLE,61,30.80,0.33,1.78,2.10,8.29, PF
91,Seth Curry,BKN,64,33.30,-0.57,2.67,2.10,9.14, SG
92,Jae'Sean Tate,HOU,78,26.40,-1.41,3.49,2.08,8.83, SF
93,Derrick White,BOS,75,29.30,0.87,1.18,2.05,10.27, PG
94,Josh Hart,POR,54,33.20,0.25,1.80,2.05,7.87, SG
95,O.G. Anunoby,TOR,48,36.00,-0.58,2.62,2.04,7.06, SF
96,Spencer Dinwiddie,DAL,67,29.60,0.63,1.34,1.97,8.54, PG
97,Jakob Poeltl,SAS,68,29.00,-0.49,2.46,1.96,8.56, C
98,Kentavious Caldwell-Pope,WSH,77,30.20,-2.36,4.29,1.93,9.74, SG
99,Damian Lillard,POR,29,36.40,4.71,-2.86,1.86,4.63, PG
100,P.J. Tucker,MIA,71,27.90,-3.77,5.62,1.84,7.78, PF
101,Kyle Kuzma,WSH,66,33.40,-0.50,2.32,1.82,9.18, SF
102,Jerami Grant,DET,47,31.90,-0.20,1.99,1.79,5.97, SF
103,Malcolm Brogdon,IND,36,33.50,2.08,-0.32,1.76,4.82, PG
104,Royce O'Neale,UTA,77,31.20,-2.33,4.08,1.76,9.87, PF
105,Harrison Barnes,SAC,77,33.60,-0.38,2.12,1.74,11.06, SF
106,Keldon Johnson,SAS,75,31.90,-0.14,1.84,1.71,10.31, SF
107,Julius Randle,NYK,72,35.30,0.02,1.62,1.64,10.59, PF
108,Bogdan Bogdanovic,ATL,63,29.30,1.89,-0.25,1.64,7.90, SG
